txn_id,date,account_id,counterparty,description,amount,currency
TXN-G2-0015,2025-01-05,ACC-7402,Bridgeport Water Works LP (Taraz site),"Marketing research panel subscription — Pavlodar block, period 02 2025",-355845.70,USD
TXN-H1-0032,2025-01-05,ACC-7501,Cedarville Logistics Co Trading House (Semey base),Electricity overbilling refund — Ekibastuz block B 2026,4704890.35,USD
TXN-H3-0004,2025-01-05,ACC-7503,Hartley Utility Trust (Aktobe hub),Electricity overbilling refund — Pavlodar block 2026,4588990.04,USD
TXN-H3-0017,2025-01-05,ACC-7503,Hartley Office Supplies Partners,"Payroll for administrative staff — Pavlodar block, instalment 1 2024",-2739472.71,USD
TXN-H3-0056,2025-01-05,ACC-7503,Hartley Landscaping Ltd LLP,"Standby generator electricity — Ekibastuz block B, period 02 2026",-2819018.45,USD
TXN-X2-0068,2025-01-05,ACC-7831,Eastgate Stationery LLC (Astana branch),"Unused ad campaign budget returned — Karaganda yard, period 03",12159060.15,EUR
TXN-9254-0037,2025-01-06,ACC-9254,Bridgeport Consulting Group (Karaganda yard),"Retail unit rent — Oskemen unit, instalment 2",-948393.41,USD
TXN-9690-0038,2025-01-06,ACC-9690,Glenwood Facilities Holdings (Semey base),Environmental emissions tax — Uralsk annex 2025,-207961.91,USD
TXN-G1-0022,2025-01-06,ACC-7401,Kingsley Insurance Associates (Zhezkazgan compound),Bi-weekly payroll run 2025,-10013614.78,USD
TXN-H4-0039,2025-01-06,ACC-7504,Foxridge Power LLC Group (Aktobe hub),Payroll bonus disbursement — Kyzylorda station 2024,-11322606.30,USD
TXN-S1-0037,2025-01-06,ACC-7001,Eastgate Logistics Inc Service Centre,Outdoor marketing site hire — Semey base,-204874.55,USD
TXN-G3-0027,2025-01-07,ACC-7403,Eastgate Telecom Group Company (Semey base),Property tax payment — Shymkent depot,-2549744.83,USD
TXN-J5-0004,2025-01-07,ACC-7605,Dunmore Insurance LP,Marketing volume rebate — July,8614586.29,USD
TXN-S3-0023,2025-01-07,ACC-7003,Glenwood Building Services Solutions LLP (Almaty office),Electricity for site lighting — Q4 2026,-295976784.10,USD
TXN-9202-0042,2025-01-08,ACC-9202,Dunmore Power Ltd Trading House,Payroll bonus disbursement — final call 2025,-24998627.64,USD
TXN-9575-0020,2025-01-08,ACC-9575,Juniper Cleaning (Atyrau terminal),"Container yard lease — Karaganda yard, Q3",-311497331.68,USD
TXN-9632-0048,2025-01-08,ACC-9632,Foxridge Telecom LP Supply (Almaty office),"Withholding tax remittance — Taraz site, Q2",-13051328.46,USD
TXN-F1-0057,2025-01-08,ACC-7301,Kingsley Tax Advisory Works,Payroll for warehouse staff — instalment 3,-2918721.67,USD
TXN-J3-0015,2025-01-08,ACC-7603,Foxridge Building Services Trust (Kyzylorda station),Interest income on treasury bills 2025,19079061.12,USD
TXN-J5-0051,2025-01-08,ACC-7605,Bridgeport Payroll Group Company,Warehouse lease — Shymkent depot,-948121.44,USD
TXN-X1-0010,2025-01-08,ACC-7830,Kingsley Utility Services,Revolver interest — April,-2296814.65,USD
TXN-G3-0037,2025-01-09,ACC-7403,Kingsley Payroll Trust (Ekibastuz block B),"Insurance broker rebate — Oskemen unit, instalment 3",183591.14,USD
TXN-KC-CAP-29,2025-01-09,TELE-4471,Bridgeport Realty Inc Group (Karaganda yard),Municipal water charge — instalment 3,-13801166.82,USD
TXN-9946-0028,2025-01-10,ACC-9946,Ironwood Supply Associates Partners,"Municipal tax levy — Uralsk annex, period 03 2026",-526300.57,USD
TXN-B3-0023,2025-01-10,ACC-7203,Cedarville Leasing,"Container yard lease — Ekibastuz block B, instalment 3",-30972313.98,USD
TXN-G1-0051,2025-01-10,ACC-7401,Cedarville Property Inc (Atyrau terminal),Interest on escrow balance — Turkistan point,148594167.93,USD
TXN-G3-0018,2025-01-10,ACC-7403,Eastgate Printing Group,Rent for archive premises — Oskemen unit,-3786382.32,USD
TXN-S1-0021,2025-01-10,ACC-7001,Foxridge Tax Advisory Corp Partners (Karaganda yard),Interest on finance sublease — Kostanay centre,-1156250.35,USD
TXN-9021-0030,2025-01-11,ACC-9021,Eastgate Facilities Trust,"Marketing agency creative fees — Oskemen unit, December",-300566192.16,USD
TXN-9317-0044,2025-01-11,ACC-9317,Bridgeport Leasing LLC (Uralsk annex),Interest true-up charge — July 2026,-7505856.41,USD
TXN-J1-0002,2025-01-11,ACC-7601,Ironwood Courier Co (Uralsk annex),Interest on escrow balance — Atyrau terminal,286783.31,USD
TXN-B5-0013,2025-01-12,ACC-7205,Dunmore Printing Partners Works (Astana branch),Bi-weekly payroll run — Q1,-5195972.71,USD
TXN-B5-0022,2025-01-12,ACC-7205,Riverside Realty Trust (Uralsk annex),"Telecom mobile fleet plan — Uralsk annex, April 2026",-277549.85,USD
TXN-H3-0029,2025-01-12,ACC-7503,Granger Utilities Holding (Atyrau terminal),"Regional marketing campaign production — Almaty office, December 2026",-8806889.09,USD
TXN-H5-0054,2025-01-12,ACC-7505,Riverside Realty Trust (Aktobe hub),Payroll for administrative staff — Aktobe hub 2026,-202544464.63,USD
TXN-J3-0067,2025-01-12,ACC-7603,Bridgeport Consulting Group Company (Taraz site),"Payroll accrual funding — Kostanay centre, June 2024",-186359.25,USD
TXN-S2-0052,2025-01-12,ACC-7002,Glenwood Facilities Holdings (Turkistan point),Payroll tranche for field crew — Aktobe hub 2024,-875656.57,USD
TXN-9296-0001,2025-01-13,ACC-9296,Foxridge Janitorial Group (Aktobe hub),"Payroll clearing account sweep back — Zhezkazgan compound, September",996544.77,USD
TXN-J4-0056,2025-01-13,ACC-7604,Cedarville Courier Holdings Ltd,"Land tax instalment — Karaganda yard, H2",-4105893.53,USD
TXN-9369-0032,2025-01-14,ACC-9369,Cedarville Waste Systems Inc (Oskemen unit),"Property tax rebate — Turkistan point, October",2748609.24,USD
TXN-9464-0026,2025-01-14,ACC-9464,Foxridge Janitorial Group Partners,Interest rebate on early repayment — Pavlodar block,138546355.99,USD
TXN-9817-0028,2025-01-14,ACC-9817,Foxridge Facilities Solutions (Oskemen unit),Payroll for night shift — H2,-689121.18,USD
TXN-F3-0009,2025-01-14,ACC-7303,Glenwood Leasing Holdings Ltd,"Interest recovery on overpayment — Pavlodar block, H1",360757.95,USD
TXN-J4-0050,2025-01-14,ACC-7604,Bridgeport Maintenance Group (Semey base),"Social tax remittance — Zhezkazgan compound, period 04",-164772925.48,USD
TXN-9024-0040,2025-01-15,ACC-9024,Hartley Payroll LLC (Taraz site),"Excise tax remittance — Pavlodar block, Q1",-15343578.89,USD
TXN-9426-0007,2025-01-15,ACC-9426,Ironwood Printing Ltd (Almaty office),Social tax remittance 2025,-599788.61,USD
TXN-B3-0030,2025-01-15,ACC-7203,Kingsley Tax Advisory (Taraz site),Electricity network capacity charge — Semey base,-5485284.13,USD
TXN-B5-0020,2025-01-15,ACC-7205,Juniper Consulting Associates (Almaty office),Container yard lease — instalment 3,-29913727.97,USD
TXN-F2-0003,2025-01-15,ACC-7302,Ashford Realty Ltd (Shymkent depot),"Interest rebate on early repayment — Uralsk annex, final call 2025",3332301.18,USD
TXN-H3-0012,2025-01-15,ACC-7503,Ashford Water Works Group Company (Kyzylorda station),Marketing photography and artwork — Kyzylorda station 2026,-2521595.76,USD
TXN-J2-0018,2025-01-15,ACC-7602,Bridgeport Leasing LLC,"Workers comp insurance — Zhezkazgan compound, instalment 2",-7261623.37,USD
TXN-J5-0007,2025-01-15,ACC-7605,Eastgate Waste Systems (Uralsk annex),"Cyber insurance premium — Turkistan point, Q1 2024",-131837125.24,USD
TXN-S2-0030,2025-01-15,ACC-7002,Beacon Tax Advisors JSC,Interest income on term deposit — Pavlodar block,792367.49,USD
TXN-9195-0041,2025-01-16,ACC-9195,Juniper Cleaning (Almaty office),Rent overpayment refunded — February,221504072.04,USD
TXN-9422-0019,2025-01-16,ACC-9422,Summit Telecom Group JSC (Pavlodar block),Group insurance experience refund — instalment 3 2026,299924.35,USD
TXN-B5-0026,2025-01-16,ACC-7205,Juniper Janitorial Ltd (Atyrau terminal),"Environmental liability insurance — Almaty office, Q2 2025",-38885707.11,USD
TXN-B5-0037,2025-01-16,ACC-7205,Foxridge Leasing Solutions Partners,"Unearned insurance premium return — Astana branch, instalment 3 2025",170791016.62,USD
TXN-F2-0011,2025-01-16,ACC-7302,Glenwood Waste Systems Trust (Aktobe hub),Electricity for site lighting — period 02,-653844.91,EUR
TXN-J1-0034,2025-01-16,ACC-7601,Glenwood Printing Corp Trading House,Liability insurance — January,-3899962.89,USD
TXN-KC-FIN-19,2025-01-16,TELE-4471,Eastgate Property Works,"Marketing agency credit note — Shymkent depot, April",2223079.83,USD
TXN-X1-0013,2025-01-16,ACC-7830,Eastgate Power Inc (Oskemen unit),Electricity metering correction credit — January,314712.62,USD
TXN-9580-0034,2025-01-17,ACC-9580,Foxridge Realty Trust Supply,"Contractor payroll batch — Kostanay centre, February",-1710812.73,USD
TXN-9792-0043,2025-01-17,ACC-9792,Eastgate Uniforms Services (Aktobe hub),"Payroll funding transfer — Uralsk annex, June",-14263202.15,USD
TXN-G1-0052,2025-01-17,ACC-7401,Ashford Facilities Inc (Kyzylorda station),Insurance deductible recovery 2026,6830458.44,USD
TXN-H1-0036,2025-01-17,ACC-7501,Ashford Consulting Partners Trading House (Uralsk annex),Hourly staff payroll — instalment 2,-11240444.78,USD
TXN-9230-0024,2025-01-18,ACC-9230,Kingsley Insurance Associates (Shymkent depot),VAT refund received — Q3 2026,6451431.04,USD
TXN-9865-0022,2025-01-18,ACC-9865,Bridgeport Cleaning Partners (Aktobe hub),"Marketing volume rebate — Aktobe hub, January",475222.76,USD
TXN-9366-0024,2025-01-19,ACC-9366,Harborview Properties,"Rent deposit returned — Pavlodar block, final call",3684043.03,USD
TXN-9917-0050,2025-01-19,ACC-9917,Juniper Printing Inc LLP,"Media buy rate adjustment credit — Turkistan point, September",2250690.35,USD
TXN-B3-0052,2025-01-19,ACC-7203,Glenwood Courier LP Group,Rent overpayment refunded — April,317772.45,USD
TXN-H2-0043,2025-01-19,ACC-7502,Cedarville Catering Solutions (Uralsk annex),Insurance claim reimbursement — October 2026,350503.03,USD
TXN-H2-0054,2025-01-19,ACC-7502,Umbrella Facilities Mgmt,Insurance claim reimbursement — Taraz site,6672822.65,USD
TXN-H4-0013,2025-01-19,ACC-7504,Cedarville Realty LLC Service Centre,Utility deposit returned — instalment 3,995876.49,USD
TXN-J1-0070,2025-01-19,ACC-7601,Eastgate Catering Services (Karaganda yard),Interest income on treasury bills — Almaty office,1813615.86,USD
TXN-J3-0056,2025-01-19,ACC-7603,Juniper Building Services Partners Service Centre (Karaganda yard),Marketing agency credit note — Turkistan point 2026,404495.45,USD
TXN-9109-0002,2025-01-20,ACC-9109,Ashford Tax Advisory Holdings Enterprise (Semey base),Storage unit rent — Aktobe hub 2024,-20786879.33,EUR
TXN-9815-0005,2025-01-20,ACC-9815,Hartley Landscaping Ltd JSC (Pavlodar block),Marketing overbilling refund — Uralsk annex 2024,3035466.97,USD
TXN-9815-0040,2025-01-20,ACC-9815,Eastgate Supply Ltd Partners,"Hourly staff payroll — Ekibastuz block B, period 01",-3193044.86,USD
TXN-9992-0033,2025-01-20,ACC-9992,Ashford Waste Systems Co JSC,Revolver interest — Zhezkazgan compound 2024,-1591098.46,USD
TXN-H4-0038,2025-01-20,ACC-7504,Eastgate Catering Services,Liability insurance 2024,-290192.39,USD
TXN-J3-0070,2025-01-20,ACC-7603,Eastgate Office Supplies Solutions LLP,"Property tax payment — Semey base, H1",-155279989.12,USD
TXN-9752-0049,2025-01-21,ACC-9752,Kingsley Tax Advisory Enterprise (Aktobe hub),Contractor payroll batch — Shymkent depot 2025,-1433731.13,USD
TXN-9907-0019,2025-01-21,ACC-9907,Juniper Leasing Group,Water charge adjustment credit — instalment 1,632365.20,USD
TXN-H5-0027,2025-01-21,ACC-7505,Eastgate Facilities Trust LLP,Payroll for administrative staff 2025,-17028762.60,USD
TXN-S1-0013,2025-01-21,ACC-7001,Juniper Tax Advisory LLC (Taraz site),"Rent deposit returned — Kostanay centre, instalment 2",810714.33,USD
TXN-9288-0038,2025-01-22,ACC-9288,Dunmore Stationery Inc (Kostanay centre),"Antenna mast lease — Zhezkazgan compound, instalment 1 2024",-267569.73,EUR
TXN-H3-0022,2025-01-22,ACC-7503,Ashford Maintenance LLC Service Centre,District heating utility charge — H1 2026,-472992.63,USD
TXN-9208-0041,2025-01-23,ACC-9208,Juniper Property Services (Pavlodar block),Point-of-sale marketing materials — instalment 1,-6590556.77,USD
TXN-9284-0015,2025-01-23,ACC-9284,Ashford Security (Astana branch),Payroll tranche for field crew,-280334.92,USD
TXN-9469-0029,2025-01-23,ACC-9469,Juniper Supply Trust,Directors and officers insurance — Oskemen unit,-11908274.27,USD
TXN-9590-0008,2025-01-23,ACC-9590,Kingsley Utility Services Works,"Telecom services — Kostanay centre, H2",-427749.34,USD
TXN-9851-0017,2025-01-23,ACC-9851,Eastgate Property LLP,Antenna mast lease — period 03 2026,-198661.23,USD
TXN-9985-0044,2025-01-23,ACC-9985,Glenwood Power (Kostanay centre),Water and sewer charge — period 01,-652692.25,USD
TXN-B5-0031,2025-01-23,ACC-7205,Hartley Telecom Co (Kyzylorda station),Sublet rent received — Shymkent depot 2024,251502048.05,USD
TXN-B5-0056,2025-01-23,ACC-7205,Cedarville Courier Holdings Supply,Product launch ad campaign — Turkistan point,-1457320.17,USD
TXN-F1-0011,2025-01-23,ACC-7301,Eastgate Insurance Corp (Taraz site),"Telecom leased line — Semey base, period 01",-2575840.28,USD
TXN-J3-0063,2025-01-23,ACC-7603,Kingsley Insurance Associates Holding,Franchise tax filing — Astana branch,-21685512.44,USD
TXN-X3-0031,2025-01-23,ACC-7832,Juniper Waste Systems Services Supply (Almaty office),"Vehicle tax payment — Kyzylorda station, Q3 2024",-298989.55,EUR
TXN-X3-0089,2025-01-23,ACC-7832,Dunmore Courier Services Partners,Use tax payment — Turkistan point,-3875562.53,USD
TXN-9071-0028,2025-01-24,ACC-9071,Foxridge Courier Group (Uralsk annex),"Utility metering charge — Turkistan point, H1",-4825803.80,USD
TXN-9357-0036,2025-01-24,ACC-9357,Juniper Property Services (Ekibastuz block B),Professional indemnity insurance — Semey base 2026,-1407503.62,USD
TXN-9601-0047,2025-01-24,ACC-9601,Foxridge Facilities Solutions (Uralsk annex),Hourly staff payroll — Ekibastuz block B,-769593.90,USD
TXN-H5-0014,2025-01-24,ACC-7505,Cedarville Waste Systems Inc (Shymkent depot),Environmental emissions tax 2024,-1171937.24,USD
TXN-J6-0020,2025-01-24,ACC-7606,Dunmore Power Ltd,Digital media buy — display — Turkistan point,-23967296.15,USD
TXN-X3-0039,2025-01-24,ACC-7832,Eastgate Janitorial Partners (Astana branch),Sewer discharge levy — Ekibastuz block B,-5189607.99,USD
TXN-9447-0041,2025-01-25,ACC-9447,Ironwood Building Services Services (Shymkent depot),"Sublet rent received — Ekibastuz block B, May 2024",930411.26,USD
TXN-9879-0045,2025-01-25,ACC-9879,Bridgeport Janitorial Solutions (Aktobe hub),"Tax penalty settlement charge — Kostanay centre, Q2",-210190346.77,USD
TXN-F2-0018,2025-01-25,ACC-7302,Juniper Courier Ltd (Zhezkazgan compound),Insurance deductible recovery,10555355.87,USD
TXN-F3-0042,2025-01-25,ACC-7303,Globex Telecom (Zhezkazgan compound),Interest income on treasury bills — Uralsk annex 2025,328670.71,USD
TXN-G1-0011,2025-01-25,ACC-7401,Foxridge Payroll Ltd (Pavlodar block),VAT refund received — February,205971.34,USD
TXN-G2-0004,2025-01-25,ACC-7402,Glenwood Landscaping Co Supply (Shymkent depot),"Withholding tax remittance — Kyzylorda station, May",-19051222.99,USD
TXN-J4-0070,2025-01-25,ACC-7604,Ironwood Telecom Ltd Trading House (Taraz site),"Electricity overbilling refund — Atyrau terminal, Q3 2025",659942.31,USD
TXN-J5-0033,2025-01-25,ACC-7605,Ashford Printing Solutions Service Centre,Payroll bonus disbursement — period 01,-2317148.01,USD
TXN-S1-0038,2025-01-25,ACC-7001,Glenwood Facilities Holdings Service Centre,Payroll for administrative staff — Q1,-2627847.68,USD
TXN-X3-0063,2025-01-25,ACC-7832,Cedarville Power Co Supply,"Fidelity bond insurance — Kostanay centre, February",-302043.73,EUR
TXN-9238-0043,2025-01-26,ACC-9238,Kingsley Building Services Group (Astana branch),Quarterly estimated tax — period 04,-297347.53,USD
TXN-9384-0041,2025-01-26,ACC-9384,Ironwood Landscaping Inc (Taraz site),Utility deposit returned — September,863823.93,USD
TXN-9594-0017,2025-01-26,ACC-9594,Ashford Maintenance LLC Enterprise,Rent for archive premises — Turkistan point,-1005302.69,USD
TXN-B5-0005,2025-01-26,ACC-7205,Ashford Leasing Inc (Karaganda yard),"Workers comp insurance — Zhezkazgan compound, instalment 2",-6913265.97,USD
TXN-X1-0028,2025-01-26,ACC-7830,Dunmore Leasing Associates (Kostanay centre),Ground lease instalment — instalment 1,-14878191.76,USD
TXN-9435-0026,2025-01-27,ACC-9435,Cedarville Cleaning Group (Almaty office),"Seasonal payroll run — Turkistan point, H1",-3447725.91,USD
TXN-9456-0016,2025-01-27,ACC-9456,Bridgeport Stationery Co Holding,Payroll clearing account sweep back — Zhezkazgan compound,8151151.04,USD
TXN-F2-0046,2025-01-27,ACC-7302,Cedarville Courier Holdings (Uralsk annex),Interest on trade facility — August 2026,-3877000.02,USD
TXN-J1-0078,2025-01-27,ACC-7601,Hartley Stationery Trust,"Digital media buy — display — Oskemen unit, H1 2025",-13488589.97,USD
TXN-X1-0087,2025-01-27,ACC-7830,Ashford Logistics LP,Revolver interest — Uralsk annex,-1870841.43,USD
TXN-9038-0018,2025-01-28,ACC-9038,Glenwood Janitorial LP (Oskemen unit),Telecom services — Aktobe hub,-1338098.89,USD
TXN-9192-0040,2025-01-28,ACC-9192,Glenwood Uniforms Group,"Outdoor marketing site hire — Kostanay centre, period 03",-392469.01,USD
TXN-H2-0031,2025-01-28,ACC-7502,Juniper Security Corp LLP (Kostanay centre),Social tax remittance,-12357694.80,USD
TXN-9445-0026,2025-01-29,ACC-9445,Juniper Catering Co Service Centre (Uralsk annex),Property tax rebate 2024,8462108.55,USD
TXN-J4-0041,2025-01-29,ACC-7604,Initech Software Licenses Company (Astana branch),"Payroll for night shift — Almaty office, February 2025",-364166.18,USD
TXN-S1-0010,2025-01-29,ACC-7001,Bridgeport Waste Systems Ltd (Astana branch),"Natural gas utility — Uralsk annex, August 2025",-1110138.81,USD
TXN-X3-0079,2025-01-29,ACC-7832,Glenwood Supply LLC Works,Accrued interest payment — Atyrau terminal 2025,-423310.46,USD
TXN-9180-0025,2025-01-30,ACC-9180,Juniper Telecom Inc,"Land lease — Kyzylorda station, October 2026",-14040059.69,USD
TXN-9979-0049,2025-01-30,ACC-9979,Cascade Water Utility (Karaganda yard),Sublet rent received — period 01,120102126.11,USD
TXN-F3-0026,2025-01-30,ACC-7303,Ironwood Cleaning LLC (Atyrau terminal),Withholding tax remittance — October,-9978463.88,USD
TXN-J1-0063,2025-01-30,ACC-7601,Ashford Payroll Partners (Kyzylorda station),"Outdoor marketing site hire — Shymkent depot, May",-2134003.32,USD
TXN-S2-0051,2025-01-30,ACC-7002,Dunmore Maintenance Trust (Ekibastuz block B),"Insurance claim reimbursement — Almaty office, instalment 1 2025",3037017.74,USD
TXN-G3-0007,2025-01-31,ACC-7403,Bridgeport Consulting Group Supply,"Interest on bilateral facility — Kostanay centre, period 03",-3151635.75,USD
TXN-G3-0034,2025-01-31,ACC-7403,Glenwood Insurance Ltd Partners,Rent for regional office — Astana branch,-20240063.68,USD
TXN-J6-0031,2025-01-31,ACC-7606,Ashford Utility Corp (Shymkent depot),"Printed marketing collateral run — Turkistan point, January 2025",-1046714.15,USD
TXN-J6-0054,2025-01-31,ACC-7606,Initech Software Licenses (Zhezkazgan compound),Unearned insurance premium return,1103454.67,USD
TXN-KC-CAP-27,2025-01-31,TELE-4471,Glenwood Landscaping Co,Use tax payment — Karaganda yard,-14703424.96,USD
TXN-9497-0011,2025-02-01,ACC-9497,Dunmore Realty (Karaganda yard),"Standby generator electricity — Kyzylorda station, February",-374371.64,USD
TXN-9799-0034,2025-02-01,ACC-9799,Glenwood Security Partners Group (Atyrau terminal),Revolver interest — December 2026,-340421.47,USD
TXN-F2-0019,2025-02-01,ACC-7302,Ashford Supply Group,District heating utility charge — November,-1015898.96,USD
TXN-H5-0049,2025-02-01,ACC-7505,Dunmore Logistics Ltd Trading House,"Payroll accrual funding — Semey base, instalment 2",-5765579.13,USD
TXN-J5-0055,2025-02-01,ACC-7605,Dunmore Logistics Ltd (Kostanay centre),Product launch ad campaign 2026,-6048749.94,USD
TXN-KC-FIN-05,2025-02-01,TELE-4471,Halyk Bank JSC,Senior term loan drawdown — tranche A,197346182.05,USD
TXN-S1-0006,2025-02-01,ACC-7001,Stalwart Mutual Insurance (Kyzylorda station),Insurance claim reimbursement — Astana branch 2024,5812630.74,USD
TXN-X2-0064,2025-02-01,ACC-7831,Bridgeport Water Works LP Trading House (Semey base),"Travel insurance for staff — Atyrau terminal, May 2025",-139788.87,USD
TXN-9042-0030,2025-02-02,ACC-9042,Cedarville Uniforms Solutions Ltd,Interest on trade facility — Aktobe hub,-9085428.65,USD
TXN-9046-0033,2025-02-02,ACC-9046,Cedarville Cleaning Group (Turkistan point),VAT instalment — August 2025,-973940.31,USD
TXN-9356-0014,2025-02-02,ACC-9356,Glenwood Consulting Inc Works,Interest on finance sublease 2026,-416423.89,USD
TXN-9384-0018,2025-02-02,ACC-9384,Dunmore Stationery Inc Ltd (Kostanay centre),Marketing co-operative funding received — H1,2067654.54,USD
TXN-B3-0020,2025-02-02,ACC-7203,Cedarville Leasing,"Broadband telecom invoice — Zhezkazgan compound, H1 2024",-212669.90,USD
TXN-F2-0050,2025-02-02,ACC-7302,Foxridge Insurance Co (Ekibastuz block B),Utility metering charge — Kyzylorda station,-435376.97,USD
TXN-G1-0019,2025-02-02,ACC-7401,Foxridge Insurance Co (Astana branch),"Group medical insurance premium — Ekibastuz block B, period 03",-3617625.51,USD
TXN-J4-0068,2025-02-02,ACC-7604,Juniper Consulting Associates Trading House,Interest income on term deposit — Taraz site,100318.45,USD
TXN-9625-0030,2025-02-03,ACC-9625,Ashford Printing Solutions (Atyrau terminal),Payroll for warehouse staff — period 03,-342535.93,USD
TXN-9826-0039,2025-02-03,ACC-9826,Cedarville Maintenance Associates (Astana branch),Rent free period credit — September 2024,234745394.99,USD
TXN-9916-0022,2025-02-03,ACC-9916,Ashford Cleaning Services,"Property insurance premium — Taraz site, Q3",-227996.02,USD
TXN-H5-0029,2025-02-03,ACC-7505,Hartley Logistics Associates (Atyrau terminal),Hourly staff payroll 2024,-145315.63,USD
TXN-S3-0014,2025-02-03,ACC-7003,Eastgate Janitorial Partners (Astana branch),Printed marketing collateral run — Karaganda yard 2026,-12896516.66,USD
TXN-S3-0026,2025-02-03,ACC-7003,Development Bank of Kazakhstan JSC,Term loan facility drawdown — silo expansion,16513124.26,USD
TXN-9247-0015,2025-02-04,ACC-9247,Kingsley Facilities LP (Almaty office),"Excise tax credit received — Zhezkazgan compound, October 2025",181864604.60,USD
TXN-9303-0009,2025-02-04,ACC-9303,Cedarville Cleaning Group (Oskemen unit),Corporate income tax instalment — Zhezkazgan compound,-429742.36,USD
TXN-F1-0002,2025-02-04,ACC-7301,Glenwood Courier LP (Semey base),"Professional indemnity insurance — Pavlodar block, December",-536408.42,USD
TXN-F1-0054,2025-02-04,ACC-7301,Bridgeport Printing Holdings,Payroll for administrative staff — July,-21879511.45,USD
TXN-H5-0003,2025-02-04,ACC-7505,Dunmore Maintenance Trust (Kyzylorda station),Withholding tax remittance — period 03,-5783516.36,USD
TXN-J1-0003,2025-02-04,ACC-7601,Cedarville Utility Ltd (Almaty office),District heating utility charge — December,-531878.71,USD
TXN-J4-0049,2025-02-04,ACC-7604,Dunmore Landscaping Group Holding,Water charge adjustment credit — period 03 2026,3393582.87,USD
TXN-9300-0024,2025-02-05,ACC-9300,Northwind Catering Supply,"Container yard lease — Atyrau terminal, Q1",-22112765.16,USD
TXN-9355-0023,2025-02-05,ACC-9355,Dunmore Realty Service Centre,Interest on trade facility — Shymkent depot 2024,-320717.56,USD
TXN-H5-0023,2025-02-05,ACC-7505,Eastgate Insurance Corp (Aktobe hub),"Withholding tax reclaim received — Kostanay centre, September",3792603.51,USD
TXN-H5-0033,2025-02-05,ACC-7505,Eastgate Consulting Co (Shymkent depot),Excise tax remittance — September,-316356917.03,USD
TXN-J4-0087,2025-02-05,ACC-7604,Halyk Bank of Kazakhstan JSC,Term loan facility drawdown 2025,9738799.03,USD
TXN-S2-0024,2025-02-05,ACC-7002,Maple Grove Telecom Supply,Standby generator electricity — Pavlodar block,-256159.28,USD
TXN-X2-0009,2025-02-05,ACC-7831,Halyk Bank of Kazakhstan JSC,Senior term loan drawdown tranche A,24880415.63,USD
TXN-9230-0012,2025-02-06,ACC-9230,Foxridge Security Services (Turkistan point),Cold store lease — instalment 1 2025,-507771.87,USD
